               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 148,            0.028447,            0.029534,            0.003877,             0.70111,             0.65826,             0.64807,             0.27321,            0.049325,             0.03226,            0.020054,           0.0027235,           0.0027235,           0.0027235
                 149,            0.028696,            0.028907,           0.0039326,             0.66733,             0.69364,             0.64305,             0.27273,            0.049309,             0.03235,            0.019463,            0.002674,            0.002674,            0.002674
                 150,            0.028322,            0.029005,           0.0038807,              0.7131,             0.66081,             0.64541,             0.27824,            0.049061,            0.032363,            0.020512,           0.0026245,           0.0026245,           0.0026245
                 151,            0.028675,            0.028968,           0.0038552,             0.70546,             0.64644,             0.63516,             0.27076,            0.049414,            0.032473,            0.021576,            0.002575,            0.002575,            0.002575
                 152,            0.027851,            0.027447,           0.0037582,             0.70932,             0.65456,             0.63721,             0.26718,            0.049071,            0.032711,            0.021183,           0.0025255,           0.0025255,           0.0025255
                 153,            0.028746,            0.028153,           0.0039737,             0.73004,             0.60036,             0.62539,             0.25732,            0.049465,             0.03284,            0.021618,            0.002476,            0.002476,            0.002476
                 154,            0.028456,            0.028649,           0.0039639,             0.75655,             0.60007,             0.62609,             0.25469,            0.049586,            0.032511,            0.021793,           0.0024265,           0.0024265,           0.0024265
                 155,            0.028032,             0.02791,           0.0039318,             0.68604,             0.64172,             0.61591,             0.26551,            0.049774,            0.032653,            0.022179,            0.002377,            0.002377,            0.002377
                 156,            0.028249,            0.028675,           0.0040017,             0.66406,             0.65671,             0.62851,             0.27054,            0.049416,            0.032918,            0.022354,           0.0023275,           0.0023275,           0.0023275
                 157,            0.027751,            0.027652,           0.0041611,             0.68626,             0.64874,             0.63366,             0.26961,            0.049566,            0.033001,              0.0214,            0.002278,            0.002278,            0.002278
                 158,            0.027281,            0.027517,           0.0039773,             0.72955,             0.64722,             0.63884,             0.27014,            0.049257,            0.032776,            0.021481,           0.0022285,           0.0022285,           0.0022285
                 159,            0.028049,            0.027269,           0.0037798,             0.71632,             0.65739,             0.65453,             0.27623,            0.049112,            0.032318,            0.020927,            0.002179,            0.002179,            0.002179
