               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.045448,            0.041299,           0.0091424,                0.62,             0.61343,              0.6004,             0.23697,            0.049715,            0.025739,            0.017212,            0.007129,            0.007129,            0.007129
                  60,            0.044516,            0.040782,           0.0096203,             0.60772,             0.65288,             0.61309,              0.2665,            0.047589,            0.025478,            0.017715,           0.0070795,           0.0070795,           0.0070795
                  61,            0.044277,            0.040026,           0.0087668,             0.76826,             0.59976,             0.63421,             0.27712,            0.049094,            0.026019,            0.017735,             0.00703,             0.00703,             0.00703
                  62,            0.044813,            0.040164,           0.0089237,             0.71756,             0.57094,             0.59009,             0.25167,             0.05018,               0.026,            0.018162,           0.0069805,           0.0069805,           0.0069805
                  63,            0.043949,            0.039842,           0.0085466,             0.59408,             0.65652,             0.59627,             0.25639,            0.049205,            0.026019,            0.017399,            0.006931,            0.006931,            0.006931
                  64,            0.043528,            0.039478,           0.0090267,             0.64887,             0.56867,             0.59648,              0.2491,            0.048854,            0.026187,            0.017019,           0.0068815,           0.0068815,           0.0068815
                  65,            0.042872,            0.039645,           0.0080674,             0.59492,             0.64398,             0.59323,             0.24084,            0.049769,            0.026387,            0.018185,            0.006832,            0.006832,            0.006832
                  66,            0.043569,            0.040471,           0.0081792,             0.58862,              0.6283,             0.60391,             0.25104,             0.04859,            0.025317,            0.018475,           0.0067825,           0.0067825,           0.0067825
                  67,            0.043605,            0.039579,           0.0083629,             0.60107,             0.61913,             0.60771,             0.25778,            0.048742,            0.025014,            0.019962,            0.006733,            0.006733,            0.006733
                  68,            0.044172,            0.039669,            0.008909,             0.72181,             0.62848,             0.66562,             0.28717,            0.048451,            0.025446,            0.015171,           0.0066835,           0.0066835,           0.0066835
                  69,            0.043272,            0.039012,           0.0081416,             0.69791,             0.64871,             0.66794,             0.27338,            0.047817,            0.025433,            0.015739,            0.006634,            0.006634,            0.006634
                  70,            0.043026,            0.040149,           0.0080328,             0.74805,               0.671,             0.68712,             0.30034,            0.047952,            0.024936,            0.016621,           0.0065845,           0.0065845,           0.0065845
                  71,            0.044006,            0.039009,           0.0086906,             0.63954,             0.67339,             0.63633,             0.25915,            0.050039,            0.025085,            0.015869,            0.006535,            0.006535,            0.006535
                  72,            0.042512,            0.038676,           0.0090472,             0.75764,             0.58847,             0.62123,             0.25306,            0.049155,            0.025687,            0.021145,           0.0064855,           0.0064855,           0.0064855
                  73,            0.043096,            0.037742,           0.0083544,             0.74484,             0.62924,             0.67351,             0.26679,              0.0485,            0.025168,            0.018887,            0.006436,            0.006436,            0.006436
                  74,            0.043306,            0.039723,           0.0089781,               0.776,             0.63034,             0.66253,             0.27404,            0.048572,            0.025891,            0.019848,           0.0063865,           0.0063865,           0.0063865
                  75,            0.042685,            0.038309,           0.0083688,              0.7346,             0.66463,             0.66001,             0.27629,            0.048488,            0.024872,            0.019894,            0.006337,            0.006337,            0.006337
                  76,            0.043318,            0.039886,           0.0080509,             0.68527,             0.63652,              0.6414,             0.25927,            0.049401,            0.026065,            0.016819,           0.0062875,           0.0062875,           0.0062875
                  77,            0.042548,            0.037901,           0.0076249,             0.80235,             0.60681,             0.66434,             0.27312,            0.048756,              0.0258,            0.017193,            0.006238,            0.006238,            0.006238
                  78,             0.04117,            0.036337,           0.0075658,             0.74398,             0.60688,             0.62692,             0.25023,            0.049335,            0.026928,            0.017757,           0.0061885,           0.0061885,           0.0061885
                  79,            0.043772,            0.038198,           0.0081501,             0.77063,             0.61292,             0.65972,             0.26978,            0.049087,            0.026451,             0.01498,            0.006139,            0.006139,            0.006139
                  80,            0.041288,            0.036973,           0.0076684,             0.74421,             0.62339,             0.63935,              0.2648,            0.050041,             0.02727,            0.016361,           0.0060895,           0.0060895,           0.0060895
                  81,            0.041382,            0.040158,           0.0077513,             0.70667,             0.66045,             0.65342,             0.26951,            0.050094,            0.026729,            0.015104,             0.00604,             0.00604,             0.00604
                  82,            0.041613,            0.038799,           0.0073163,              0.7031,             0.60785,              0.6337,             0.25707,            0.051608,            0.027064,            0.016716,           0.0059905,           0.0059905,           0.0059905
                  83,            0.040971,            0.038421,           0.0069682,             0.74521,             0.63057,             0.64719,             0.28471,            0.050521,            0.026326,            0.015347,            0.005941,            0.005941,            0.005941
                  84,            0.040458,            0.035858,           0.0064871,             0.72372,             0.64442,             0.67704,             0.30226,            0.048601,            0.026316,            0.015818,           0.0058915,           0.0058915,           0.0058915
                  85,            0.041692,            0.036926,           0.0072123,              0.7436,             0.62513,             0.65322,             0.28399,            0.048266,             0.02542,            0.015818,            0.005842,            0.005842,            0.005842
                  86,            0.040446,            0.037044,           0.0070334,             0.75296,             0.62751,              0.6494,             0.28467,            0.048108,            0.025958,            0.015175,           0.0057925,           0.0057925,           0.0057925
                  87,            0.039563,            0.037021,           0.0070048,             0.69347,             0.63843,             0.63084,             0.27574,            0.048218,            0.026248,            0.016182,            0.005743,            0.005743,            0.005743
                  88,            0.040692,            0.037846,           0.0073117,             0.72275,             0.59242,             0.61662,             0.26455,            0.050048,            0.026993,            0.018032,           0.0056935,           0.0056935,           0.0056935
                  89,            0.040894,            0.037536,           0.0071296,             0.72676,             0.64364,             0.65956,             0.27945,            0.049157,            0.026351,            0.017553,            0.005644,            0.005644,            0.005644
                  90,              0.0409,            0.037758,           0.0071446,             0.68912,             0.62108,             0.63083,             0.26849,            0.049123,            0.026145,            0.020226,           0.0055945,           0.0055945,           0.0055945
                  91,            0.039713,            0.036646,           0.0067122,             0.67183,              0.5962,             0.60755,              0.2432,            0.050876,             0.02707,            0.019257,            0.005545,            0.005545,            0.005545
                  92,            0.039173,            0.035526,           0.0068828,             0.65502,              0.6377,             0.60351,             0.25598,            0.050078,            0.026567,            0.016895,           0.0054955,           0.0054955,           0.0054955
                  93,            0.039479,            0.035757,           0.0066337,             0.73595,             0.65003,             0.64765,             0.28467,            0.049091,            0.026226,            0.016224,            0.005446,            0.005446,            0.005446
                  94,             0.04007,            0.037521,           0.0068409,             0.72179,             0.66005,             0.65993,             0.28864,            0.050044,            0.027412,            0.016479,           0.0053965,           0.0053965,           0.0053965
                  95,            0.039288,            0.037345,           0.0066025,              0.7242,             0.62365,             0.63758,             0.26949,            0.049988,            0.027599,             0.01593,            0.005347,            0.005347,            0.005347
                  96,            0.039349,            0.037317,           0.0066798,             0.67752,             0.61124,             0.59507,             0.24848,            0.049917,            0.026135,            0.016989,           0.0052975,           0.0052975,           0.0052975
                  97,            0.038469,            0.034165,           0.0061098,             0.70881,             0.61328,             0.63006,             0.26188,            0.049311,            0.026671,            0.016016,            0.005248,            0.005248,            0.005248
                  98,            0.040077,            0.036543,            0.006457,             0.73074,             0.65845,             0.66052,             0.27434,            0.048748,              0.0262,            0.018784,           0.0051985,           0.0051985,           0.0051985
                  99,            0.038902,            0.035361,           0.0065754,              0.7151,             0.68817,             0.66921,             0.29578,             0.04924,            0.025884,            0.016743,            0.005149,            0.005149,            0.005149
                 100,            0.039803,            0.039387,           0.0066209,             0.69837,             0.66625,             0.61266,             0.26932,            0.049287,            0.026374,            0.020893,           0.0050995,           0.0050995,           0.0050995
                 101,            0.038594,            0.036224,           0.0059919,             0.71499,             0.65303,             0.61492,              0.2629,            0.049266,            0.026935,            0.019642,             0.00505,             0.00505,             0.00505
                 102,            0.038742,            0.035279,           0.0064798,              0.7277,             0.69675,             0.66281,              0.2854,            0.048631,            0.026748,            0.016359,           0.0050005,           0.0050005,           0.0050005
                 103,            0.038352,            0.036125,           0.0064674,             0.66963,             0.66112,             0.63675,             0.27441,            0.049794,            0.026458,            0.019003,            0.004951,            0.004951,            0.004951
